Params.Name,Params.Units in dataset,Conv,Key,Key Value,Notes,Category
Bacillariophyta (Total),cells/mL,1,var00767,Bacillariophyta,No mapping key,Ecology (Planktonic)
Charophyta (Total),cells/mL,1,var00768,Charophyta,No mapping key,Ecology (Planktonic)
Chlorophyta (Total),cells/mL,1,var00769,Chlorophyta,No mapping key,Ecology (Planktonic)
Chrysophyta (Total),cells/mL,1,var00770,Chrysophyta,No mapping key,Ecology (Planktonic)
Cryptophyta (Total),cells/mL,1,var00771,Cryptophyta,No mapping key,Ecology (Planktonic)
Cyanobacteria (Total),cells/mL,1,var00772,Cyanobacteria,No mapping key,Ecology (Planktonic)
Dinophyta (Total),cells/mL,1,var00773,Dinophyta,No mapping key,Ecology (Planktonic)
Euglenophyta (Total),cells/mL,1,var00774,Euglenophyta,No mapping key,Ecology (Planktonic)
Ochrophyta (Total),cells/mL,1,var00775,Ochrophyta,No mapping key,Ecology (Planktonic)
Dolichospermum,cells/mL,0.00000000325,var00778,Phytoplankton Biomass (doli),,Ecology (Planktonic)
Chlorophyte,cells/mL,0.000000000275,var00038,Phytoplankton Biomass (greens),,Ecology (Planktonic)
Picoplankton,cells/mL,0.000000000275,var00779,Phytoplankton Biomass (pico),,Ecology (Planktonic)
Diatom (Bacillariophyta),cells/mL,0.00000002,var00040,Phytoplankton Biomass (diat),,Ecology (Planktonic)
Cyanobacteria,mmol C/m^3,1,var00777,Phytoplankton Biomass (diag_cyano),,Ecology (Planktonic)